family	galga	gasac	ornan	oryla	homsa	sacce	cioin	hydma	nemve	pedhu	ampqu	drome	anoca	musmu	apime	mondo	anoga	danre	loxaf	ciosa	tetni
ORTHOMCL1009	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ORTHOMCL1008	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ORTHOMCL1005	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ORTHOMCL1004	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORTHOMCL1007	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ORTHOMCL1006	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ORTHOMCL1001	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORTHOMCL1000	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORTHOMCL1003	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORTHOMCL1002	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORTHOMCL1269	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ORTHOMCL1268	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ORTHOMCL1261	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORTHOMCL1260	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORTHOMCL1263	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORTHOMCL1262	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORTHOMCL1265	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORTHOMCL1264	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORTHOMCL1267	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ORTHOMCL1266	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ORTHOMCL714	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0
ORTHOMCL59	1	3	1	3	2	0	0	0	0	2	0	2	1	2	1	1	1	3	2	1	3
ORTHOMCL58	3	2	2	2	1	0	1	1	1	1	0	1	3	1	0	2	1	2	2	1	2
ORTHOMCL51	2	3	1	2	1	0	2	0	0	2	0	2	2	1	1	2	2	1	2	2	2
ORTHOMCL50	1	3	2	2	2	0	1	0	0	1	0	1	2	2	1	2	1	3	2	1	3
ORTHOMCL889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
ORTHOMCL888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
ORTHOMCL96	0	2	1	2	2	0	1	1	1	2	0	1	0	2	1	2	1	2	1	2	2
ORTHOMCL739	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ORTHOMCL738	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
ORTHOMCL881	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ORTHOMCL880	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ORTHOMCL883	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ORTHOMCL882	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ORTHOMCL885	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ORTHOMCL884	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ORTHOMCL887	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ORTHOMCL730	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1
ORTHOMCL643	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1
ORTHOMCL642	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1
